id,nickname,title,body,rating,version,country,date
as_100001,lucia842,Ordered thai from Poke,Ordered thai from Poke Bros for movie night and it arrived in 26 minutes. Driver was lovely.,5,4.0.3,GB,2026-06-15T08:38:23Z
as_100002,louis60,How do I,Is there a family account option?,4,4.0.3,FR,2026-06-15T08:43:41Z
as_100003,amelia_c31,Ordered thai for the,Ordered thai for the whole family on Friday. Would recommend.,5,4.0.4,US,2026-06-15T10:12:22Z
as_100003,amelia_c31,Ordered thai for the,Ordered thai for the whole family on Friday. Would recommend.,5,4.0.4,US,2026-06-15T10:12:22Z
as_100004,adam_g89,Excellent,Found Nonna's on here and it's now our regular. Zero complaints.,4,4.0.4,IE,2026-06-15T14:38:19Z
as_100005,kenji_990,Found Mama Rosa on,Found Mama Rosa on here and it's now our regular. 10/10.,4,4.0.3,GB,2026-06-15T15:04:36Z
as_100006,emma1996,Never fails,36 orders in and not a single problem. Great selection round here.,5,4.0.4,FR,2026-06-16T05:24:15Z
as_100007,pierre_s69,So easy,"Found Poke Bros on here and it's now our regular. Simple, fast, reliable Please look into it.",5,4.0.3,GB,2026-06-16T05:39:14Z
as_100008,yasmin2003,Found Golden Dragon on,Found Golden Dragon on here and it's now our regular. Food was hot. Perfect.,5,4.0.4,US,2026-06-16T06:56:13Z
as_100008,yasmin2003,Found Golden Dragon on,Found Golden Dragon on here and it's now our regular. Food was hot. Perfect.,5,4.0.4,US,2026-06-16T06:56:13Z
as_100009,finn_n26,Easy to use even,"Easy to use even for my mum, which says a lot 😤",5,4.0.4,US,2026-06-16T07:54:28Z
as_100010,kai.n,Excellent,The promo codes are generous and actually work for me.,5,4.0.4,US,2026-06-16T08:09:48Z
as_100011,nina_393,Never fails,Amazing. Thank you.,5,4.0.4,DE,2026-06-16T08:35:58Z
as_100012,kai.n,Great app,Friday night fried chicken sorted in about 20 minutes. Would recommend.,4,4.0.3,IE,2026-06-16T10:27:45Z
as_100013,tom415,Love it,Right. The scheduled delivery feature is brilliant for office lunches !!,4,4.0.4,IN,2026-06-16T11:51:15Z
as_100014,aaron2002,Perfect,"So, Best food delivery app I've used. Fast, easy, and the tracking is great Thanks.",5,4.0.3,GB,2026-06-16T12:16:45Z
as_100015,omar.g,"So, yum","So, yum",5,4.0.3,IN,2026-06-16T17:06:52Z
as_100016,finn_809,Great selection of local,Great selection of local restaurants. Five stars.,5,4.0.4,FR,2026-06-16T19:06:51Z
as_100017,nina2000,!!!,Follow me on insta for food pics @eatswithjay,5,4.0.4,US,2026-06-16T21:50:58Z
as_100017,nina2000,!!!,Follow me on insta for food pics @eatswithjay,5,4.0.4,US,2026-06-16T21:50:58Z
as_100018,adam267,Never fails,"Quick vegan bowls at lunch, arrived early. Brilliant.",5,4.0.3,CA,2026-06-16T23:35:08Z
as_100019,camille.r,Perfect,Ordered pho from Mama Rosa for the match and it arrived in 23 minutes. Great selection round here Please look into it.,4,4.0.4,DE,2026-06-17T05:32:36Z
as_100020,amelia2001,So easy,Better than the big apps for my area. Way more choice.,4,4.0.4,DE,2026-06-17T06:22:33Z
as_100021,mateo_l72,Info,How do I report a missing item?,5,4.0.4,FR,2026-06-17T08:22:24Z
as_100022,grace1991,Great app,The favourites feature is handy. Great app.,5,4.0.4,GB,2026-06-17T10:30:08Z
as_100022,grace1991,Great app,The favourites feature is handy. Great app.,5,4.0.4,GB,2026-06-17T10:30:08Z
as_100023,mia.t,Perfect,"Quick pizza after work, arrived early. Would recommend.",5,4.0.4,ES,2026-06-17T12:49:00Z
as_100024,adam1985,cheaper than the other,cheaper than the other apps and better restaurants.,5,4.0.4,US,2026-06-17T15:09:26Z
as_100025,sofia_o51,Top tier app,Top tier app,5,4.0.3,DE,2026-06-17T15:12:41Z
as_100026,diegox225,Top app,Perfect every time.,4,4.0.3,DE,2026-06-17T18:39:07Z
as_100027,nadia1984,Superb,The Pie Shop through this app at lunch. 32 minutes door to door. Brilliant.,4,4.0.3,FR,2026-06-18T05:40:03Z
as_100028,leox251,Never fails,Ugh. delivery drivers are always friendly. Great app.,4,4.0.3,IN,2026-06-18T05:51:13Z
as_100029,rubyx235,Cold food,"So, Second time my order has gone to the wrong address. Won't be ordering again.",2,4.0.3,GB,2026-06-18T11:18:24Z
